description,category
CARD 9313 NOODLES & CO STORE 9313,Restaurants
PURCHASE TRANSFER FEE,Fees
CARD 9866 SPORTS BAR STORE 9866,Bars
PURCHASE SPECTRUM *6705,Utilities
POS 5465 SOUTHWEST STORE 5465,Travel
AUTH 6544 TICKETMASTER,Entertainment
POS 1244 PAYPAL TRANSFER #1244,P2P
PURCHASE AMERICAN AIRLINES STORE 1729,Travel
DISNEY+ BERKELEY CA,Entertainment
PUBLIX /ONLINE,Grocery
LOWE'S /ONLINE,Shopping
COX COMMUNICATIONS /ONLINE,Utilities
AUDIBLE,Entertainment
LATE FEE,Fees
CHIME TRANSFER,P2P
UBERPOOL,Transport
AUTH 3312 OVERDRAFT FEE - OAKLAND CA,Fees
PURCHASE CAR WASH #7818,Other
AUTH 2583 GENERAL MERCHANT,Other
PURCHASE COFFEE REPUBLIC,Coffee
PAYMENT EMERGENCY ROOM OAKLAND CA,Health
WEB 1982 CHEVRON,Gas
FOREIGN TRANSACTION FEE,Fees
MACY'S BERKELEY CA,Shopping
PURCHASE AT&T INTERNET #7734,Utilities
PURCHASE BUILDINGLINK #3377,Rent
H-E-B STORE 7347,Grocery
POS 6326 BARNES & NOBLE,Shopping
MACY'S #2137,Shopping
TAPROOM NEW YORK NY,Bars
WEB 6899 CITY PARKING *6899,Transport
PURCHASE ELECTRIC CO-OP,Utilities
PAYMENT SHAKE SHACK STORE 6372,Restaurants
PAYMENT MISC CHARGE - AUSTIN TX,Other
DUTCH BROS *4125,Coffee
CARD 7860 VENMO SAN JOSE CA,P2P
CARD 3371 BEST BUY,Shopping
CARD 8364 KROGER AUSTIN TX,Grocery
POS 5243 NETFLIX STORE 5243,Entertainment
MARSHALLS /ONLINE,Shopping
PAYMENT BUILDINGLINK *6017,Rent
CARD 6546 AT&T SEATTLE WA,Utilities
TAPHOUSE,Bars
POS 1642 CHECKERS,Restaurants
PAYMENT WALMART,Shopping
POS 8716 PUBLIX,Grocery
PAYMENT PEET'S COFFEE STORE 8454,Coffee
LA COLOMBE OAKLAND CA,Coffee
POS 5742 URGENT CARE - SAN JOSE CA,Health
BIGGBY COFFEE BERKELEY CA,Coffee
CARD 5582 EL POLLO LOCO,Restaurants
EXPEDIA,Travel
SMUD ENERGY STORE 2979,Utilities
AUTH 7102 QDOBA,Restaurants
POS 2793 GAMESTOP - SAN JOSE CA,Shopping
WEB 5577 ANNUAL FEE,Fees
AVAIL.CO /ONLINE,Rent
WEB 8365 SQUARE CASH - NEW YORK NY,P2P
PURCHASE TRUE VALUE,Other
WEB 8003 SQUARE CASH /ONLINE,P2P
PAYMENT GIANT FOOD #9691,Grocery
WEB 9284 CITY GARBAGE,Utilities
CARD 7523 SPECTRUM #7523,Utilities
CITY PARKING,Transport
PURCHASE SOUTHWEST,Travel
AUTH 1516 AMC THEATRES /ONLINE,Entertainment
POS 9459 OPTOMETRY CENTER - AUSTIN TX,Health
SPOTIFY NEW YORK NY,Entertainment
FARMERS MARKET,Other
POS 5074 PHILLIPS 66,Gas
AUTH 4299 APARTMENTS LLC,Rent
PORTILLO'S,Restaurants
PURCHASE ATM FEE - SAN FRANCISCO CA,Fees
PAYMENT HOTELS.COM,Travel
POS 3938 WINCO STORE 3938,Grocery
CARD 9563 TARGET - LOS ANGELES CA,Shopping
CARD 6248 AT&T,Utilities
HOSPITAL BILL,Health
PAYMENT NBA LEAGUE PASS,Entertainment
WEB 8707 COFFEE REPUBLIC STORE 8707,Coffee
WEB 1238 SAM'S CLUB,Shopping
AUTH 8154 NETFLIX *8154,Entertainment
CARD 2944 BOOKING.COM,Travel
CARD 4201 AVIS RENTAL /ONLINE,Transport
VERIZON - AUSTIN TX,Utilities
CARD 3305 TRADER JOE'S,Grocery
PURCHASE AIRPORT SHUTTLE,Transport
WEB 7347 BUFFALO WILD WINGS,Restaurants
CARD 5077 APPLE CASH,P2P
YARDI RENT,Rent
CARD 1107 SPECTRUM SAN JOSE CA,Utilities
POS 1540 AUDIBLE #1540,Entertainment
AUTH 1825 SPEEDWAY,Gas
MOBIL *9264,Gas
APPLE STORE #3976,Shopping
APPLE CASH /ONLINE,P2P
AUTH 7007 OFFICE DEPOT,Shopping
AUTH 7265 DISNEY+,Entertainment
HERTZ OAKLAND CA,Transport
PAYMENT TENANT WEB SAN FRANCISCO CA,Rent
WEB 2371 CASH APP STORE 2371,P2P
POS 9613 OFFICE DEPOT,Shopping
AUTH 4805 BOOKING.COM /ONLINE,Travel
MONTHLY SERVICE FEE /ONLINE,Fees
CARD 4688 CIRCLE K STORE 4688,Gas
CARD 7886 TICKETMASTER /ONLINE,Entertainment
AUTH 6447 EXPEDIA BERKELEY CA,Travel
CARD 8319 CARIBOU COFFEE,Coffee
OFFICE DEPOT,Shopping
POS 6897 BUILDINGLINK STORE 6897,Rent
CARD 4390 DENTAL CLINIC,Health
CVS PHARMACY #4836,Health
CIDER HOUSE,Bars
AUTH 8435 ACME MARKETS,Grocery
CARD 5597 PAYLEASE,Rent
WINE BAR,Bars
ORTHO CLINIC *8764,Health
PURCHASE HOSPITAL BILL,Health
WEB 6281 YOUTUBE PREMIUM,Entertainment
OLIVE GARDEN,Restaurants
PAYMENT AVAIL.CO,Rent
HOLIDAY STATION STORE 3764,Gas
CHIME TRANSFER STORE 2529,P2P
POS 1004 RITE AID,Health
SPROUTS,Grocery
PURCHASE HOSPITAL BILL LOS ANGELES CA,Health
PAYMENT PAYPAL TRANSFER /ONLINE,P2P
H-E-B SAN JOSE CA,Grocery
PAYMENT SAFEWAY /ONLINE,Grocery
MARKET BASKET,Grocery
CARD 4945 PORTILLO'S #4945,Restaurants
CARD 4762 MONTHLY SERVICE FEE STORE 4762,Fees
AUTH 1656 GAS COMPANY *1656,Utilities
WEB 6325 CARIBOU COFFEE SAN JOSE CA,Coffee
PURCHASE GAS COMPANY STORE 2501,Utilities
EXPEDIA,Travel
POS 8120 ETSY,Shopping
CARD 5170 DUNKIN *5170,Coffee
PURCHASE YOUTUBE PREMIUM,Entertainment
JAVAHOUSE /ONLINE,Coffee
PURCHASE TIM HORTONS,Coffee
PARAMOUNT+ - SEATTLE WA,Entertainment
AUTH 9045 ZELLE,P2P
AUTH 6438 TACO BELL *6438,Restaurants
WEB 2335 T-MOBILE STORE 2335,Utilities
CARD 9161 THE ALEHOUSE /ONLINE,Bars
FAMILY DOLLAR STORE 5091,Other
WEB 2134 VONS #2134,Grocery
PAYMENT WELLNESS CENTER STORE 9606,Health
POS 6432 REMITLY - SAN JOSE CA,P2P
AUTH 7852 LIME BIKE - OAKLAND CA,Transport
PROPERTY MANAGEMENT STORE 7708,Rent
MENTAL HEALTH NEW YORK NY,Health
SQUARE CASH,P2P
VALERO,Gas
AUTH 4032 NSF FEE OAKLAND CA,Fees
AUTH 1781 P.F. CHANG'S,Restaurants
CHILI'S SAN FRANCISCO CA,Restaurants
ELECTRIC CO-OP *2403,Utilities
WEB 8216 RENT PAYMENT PORTAL *8216,Rent
CHIPOTLE STORE 5658,Restaurants
DISNEY+ BERKELEY CA,Entertainment
AUTH 2092 LEASE DEPOSIT,Rent
PURCHASE WEGMANS *5310,Grocery
AIRPORT PARKING *2296,Travel
WHITE CASTLE #6325,Restaurants
CARD 5726 HAPPY HOUR LOUNGE,Bars
PURCHASE TSA PRECHECK,Travel
DOLLAR TREE,Other
CARD 1299 SIRIUSXM,Entertainment
PAYMENT DOMINO'S PIZZA,Restaurants
PAYMENT DERMATOLOGY,Health
REGAL CINEMAS STORE 2710,Entertainment
POS 6071 BUILDINGLINK - SAN JOSE CA,Rent
HAPPY HOUR LOUNGE LOS ANGELES CA,Bars
PURCHASE VALERO - LOS ANGELES CA,Gas
CHIROPRACTOR *7776,Health
POS 5325 COFFEE BEAN & TEA LEAF /ONLINE,Coffee
FAMILY DOLLAR,Other
PAYMENT BREWER'S TAPROOM,Bars
AUTH 8252 LYFT AIRPORT #8252,Travel
WEB 1521 PHYSICAL THERAPY,Health
AUTH 6948 COFFEE REPUBLIC STORE 6948,Coffee
PAYPAL FRIENDS #4336,P2P
SPEEDWAY *8879,Gas
PURCHASE CALTRAIN,Transport
WEB 5845 TENANT WEB - NEW YORK NY,Rent
WINE BAR LOS ANGELES CA,Bars
POS 3419 BREWER'S TAPROOM *3419,Bars
YARDI RENT,Rent
WEB 1009 HOTELS.COM #1009,Travel
WEB 3219 SEATTLE'S BEST - AUSTIN TX,Coffee
POS 4706 SPECTRUM /ONLINE,Utilities
BUFFALO WILD WINGS STORE 6818,Restaurants
AUTH 5593 APPLEBEE'S #5593,Restaurants
POS 6735 ATM FEE *6735,Fees
POS 9982 SECOND CUP - SAN FRANCISCO CA,Coffee
CARD 9222 BEER GARDEN,Bars
PAYMENT OPTOMETRY CENTER - NEW YORK NY,Health
WEB 8289 EXXONMOBIL,Gas
CARD 7493 HARBOR FREIGHT,Other
DENNY'S,Restaurants
CARD 9802 BUDGET RENTAL,Transport
PURCHASE PET STORE - BERKELEY CA,Other
CARD 2994 XFINITY,Utilities
PURCHASE WALGREENS,Health
PURCHASE IKEA #7966,Shopping
WEB 3255 MARKET BASKET /ONLINE,Grocery
PURCHASE CITY PARKING *5395,Transport
LAUNDROMAT,Other
POS 5045 OVERDRAFT FEE - AUSTIN TX,Fees
AUTH 1626 ANNUAL FEE STORE 1626,Fees
CARD 1484 SONIC INTERNET #1484,Utilities
SECOND CUP *4204,Coffee
AMAZON *7854,Shopping
PAYMENT UBER TRIP - SEATTLE WA,Transport
SPEEDWAY /ONLINE,Gas
POS 4764 SMUD ENERGY AUSTIN TX,Utilities
NBA LEAGUE PASS,Entertainment
PAYMENT MUNI METRO #5931,Transport
RITE AID,Health
PURCHASE COFFEE REPUBLIC,Coffee
WEB 1981 APPLEBEE'S BAR STORE 1981,Bars
LIME BIKE /ONLINE,Transport
MOBIL #7000,Gas
CARD 7121 VENMO REQUEST,P2P
WEB 1880 WALGREENS *1880,Health
NOODLES & CO /ONLINE,Restaurants
CASH ADVANCE FEE /ONLINE,Fees
POS 8581 CARIBOU COFFEE #8581,Coffee
AUTH 7910 WALGREENS,Health
PAYMENT FOOD LION *4893,Grocery
WEB 8594 H-E-B *8594,Grocery
TRANSFER FEE,Fees
MONTHLY SERVICE FEE,Fees
PAYMENT PLAYSTATION STORE /ONLINE,Entertainment
PURCHASE ALASKA AIR /ONLINE,Travel
PAYPAL TRANSFER *3956,P2P
POS 5912 NIKE STORE,Shopping
MARRIOTT *7709,Travel
MAINTENANCE FEE STORE 9435,Fees
PAYMENT BARCADE /ONLINE,Bars
PURCHASE CARD REPLACEMENT FEE,Fees
WEB 1235 SPROUTS,Grocery
WEB 8467 CINCINNATI BELL #8467,Utilities
MENTAL HEALTH,Health
AUTH 3984 TAPROOM STORE 3984,Bars
PURCHASE COSTCO WHOLESALE,Shopping
JETBLUE,Travel
CARD 9339 RENT PAYMENT PORTAL,Rent
CARD 4061 NORDSTROM STORE 4061,Shopping
COFFEE BEAN & TEA LEAF - AUSTIN TX,Coffee
AUTH 7414 COSTCO FUEL SEATTLE WA,Gas
POS 4728 APPLEBEE'S #4728,Restaurants
PAYMENT WINCO,Grocery
GLORIA JEAN'S,Coffee
WEB 5789 BUILDINGLINK,Rent
REALPAGE PAYMENTS *1008,Rent
BEST BUY *2743,Shopping
POS 2850 SALVATION ARMY /ONLINE,Other
PURCHASE MENTAL HEALTH - AUSTIN TX,Health
DERMATOLOGY,Health
PURCHASE MAINTENANCE FEE,Fees
CARD 5902 WINE BAR /ONLINE,Bars
TICKETMASTER STORE 9634,Entertainment
BUILDINGLINK #2338,Rent
PURCHASE LANDLORD TRANSFER,Rent
MISC CHARGE STORE 3657,Other
POST OFFICE /ONLINE,Other
PAYMENT URGENT CARE /ONLINE,Health
PAYMENT STRIPE PAYOUT SAN FRANCISCO CA,P2P
WEB 6353 XBOX LIVE,Entertainment
WEB 4659 ALDI *4659,Grocery
PHYSICAL THERAPY *3328,Health
POS 6825 PRICELINE STORE 6825,Travel
CARD 5212 ADT SECURITY /ONLINE,Utilities
WEB 2399 CARD REPLACEMENT FEE #2399,Fees
COCKTAIL CLUB STORE 1378,Bars
COMMUNITY CENTER STORE 9500,Other
PURCHASE ADT SECURITY,Utilities
PAYMENT TSA PRECHECK STORE 3403,Travel
POS 5392 MOBIL BERKELEY CA,Gas
PURCHASE SEATTLE'S BEST STORE 1954,Coffee
WEB 9034 OVERDRAFT FEE #9034,Fees
PAYMENT HOLIDAY STATION SAN FRANCISCO CA,Gas
PURCHASE GETTY /ONLINE,Gas
AUTH 9816 BEER GARDEN OAKLAND CA,Bars
CARD 9875 GREYHOUND,Transport
CARD 7088 WINCO - SAN JOSE CA,Grocery
POS 1104 HOTELS.COM /ONLINE,Travel
FRESH MARKET,Grocery
PAYMENT RALPHS - BERKELEY CA,Grocery
FAMILY DOLLAR #2660,Other
WEB 3507 CITY PARKING /ONLINE,Transport
WEB 2729 WHITE CASTLE STORE 2729,Restaurants
SPEAKEASY,Bars
PURCHASE MICROBREWERY - SAN FRANCISCO CA,Bars
COMMUNITY CENTER #7443,Other
CARD 7509 CHEVRON - AUSTIN TX,Gas
AUTH 6611 PROPERTY MANAGEMENT STORE 6611,Rent
AUTH 6527 TRADER JOE'S STORE 6527,Grocery
PURCHASE POST OFFICE #6995,Other
PURCHASE CASH ADVANCE FEE OAKLAND CA,Fees
CARD 7835 HILTON SAN JOSE CA,Travel
ZILLOW RENT,Rent
WEB 9530 COMMUNITY CENTER *9530,Other
SHOPRITE,Grocery
PAYMENT UNIQLO #4886,Shopping
BEER GARDEN,Bars
AUTH 1435 WOW INTERNET /ONLINE,Utilities
CARD 8988 SHAKE SHACK *8988,Restaurants
GYM MEMBERSHIP,Health
CHECKERS AUSTIN TX,Restaurants
CHIME TRANSFER,P2P
SPIRIT AIRLINES /ONLINE,Travel
TJ MAXX - BERKELEY CA,Shopping
ARCO *8791,Gas
TEXACO STORE 6819,Gas
CARD 5615 TAXI SERVICE *5615,Transport
CARD 2681 WIRE FEE AUSTIN TX,Fees
PURCHASE KING SOOPERS - BERKELEY CA,Grocery
PURCHASE DERMATOLOGY - SAN JOSE CA,Health
CARD 7925 CIDER HOUSE STORE 7925,Bars
BOOKING.COM *4828,Travel
POS 7878 DENNY'S,Restaurants
WEB 7149 CHIROPRACTOR,Health
PURCHASE HOSPITAL BILL,Health
AUTH 8045 UBER TRIP - BERKELEY CA,Transport
PEACOCK - NEW YORK NY,Entertainment
PAYMENT LANDLORD TRANSFER STORE 4564,Rent
CARD 6185 FRESH MARKET STORE 6185,Grocery
WEB 5228 ZIPCAR SEATTLE WA,Transport
AIRPORT PARKING *5301,Travel
CARD 5136 FAMILY DOLLAR #5136,Other
AUTH 1106 FARMERS MARKET #1106,Other
PURCHASE DIVE BAR - SAN FRANCISCO CA,Bars
POS 7995 TENANT WEB /ONLINE,Rent
PAYMENT PROPERTY MANAGEMENT /ONLINE,Rent
AUTH 5915 HARRIS TEETER - BERKELEY CA,Grocery
POS 2600 76 STATION /ONLINE,Gas
POS 3322 ELECTRIC CO-OP /ONLINE,Utilities
PURCHASE OFFICE DEPOT /ONLINE,Shopping
LAVAZZA CAFE - AUSTIN TX,Coffee
PAYMENT WHATABURGER,Restaurants
PURCHASE NFL GAMEPASS *8828,Entertainment
PAYMENT TENANT WEB STORE 8988,Rent
CARD 6900 SHOPRITE - SAN FRANCISCO CA,Grocery
AUTH 8231 BATH & BODY WORKS *8231,Shopping
EXXON *9922,Gas
AUTH 7111 STEAM GAMES #7111,Entertainment
CARD 7579 CHILI'S BAR SEATTLE WA,Bars
TARGET /ONLINE,Shopping
POS 9591 GELSON'S *9591,Grocery
WEB 9608 STRIPE PAYOUT - SAN FRANCISCO CA,P2P
PURCHASE TAXI SERVICE,Transport
PURCHASE LA COLOMBE,Coffee
BUDGET RENTAL,Transport
BUFFALO WILD WINGS,Restaurants
CARD 4817 DERMATOLOGY,Health
HOTELS.COM,Travel
WEB 3801 POST OFFICE STORE 3801,Other
WHATABURGER /ONLINE,Restaurants
CARD 2215 BANDCAMP,Entertainment
TRADER JOE'S,Grocery
CARD 4901 HOME IMPROVEMENT,Other
COSTCO WHOLESALE STORE 2162,Shopping
AUTH 7855 GAS BUDDY - SEATTLE WA,Gas
HARDEE'S,Restaurants
PAYMENT BART CLIPPER,Transport
CITY GARBAGE AUSTIN TX,Utilities
THE ALEHOUSE,Bars
WEB 4361 CHIROPRACTOR #4361,Health
WEB 4385 AMERICAN AIRLINES,Travel
FOREIGN TRANSACTION FEE,Fees
RALPHS #7605,Grocery
TSA PRECHECK *3240,Travel
WHISKEY BAR /ONLINE,Bars
PAYMENT JAVAHOUSE - SAN JOSE CA,Coffee
WEB 7077 ATM FEE /ONLINE,Fees
CARD 4177 CAR WASH STORE 4177,Other
POS 5838 LANDLORD TRANSFER #5838,Rent
WISE TRANSFER,P2P
CARD 6504 NSF FEE,Fees
WEB 2367 APPLE CASH,P2P
POS 8200 PAYPAL TRANSFER SEATTLE WA,P2P
SPEAKEASY *7090,Bars
SMUD ENERGY #8338,Utilities
WEB 6167 CHEVRON /ONLINE,Gas
PURCHASE ADT SECURITY SAN FRANCISCO CA,Utilities
PAYMENT COSTCO FUEL #6453,Gas
DISNEY+,Entertainment
CARD 8566 STATEMENT FEE SEATTLE WA,Fees
POS 8119 GLORIA JEAN'S #8119,Coffee
AUTH 5733 LABCORP /ONLINE,Health
POS 8023 DOLLAR TREE - NEW YORK NY,Other
ARCO,Gas
CARD 1011 WHATABURGER,Restaurants
PAYMENT HOTELS.COM #8024,Travel
COFFEE BEAN & TEA LEAF #2464,Coffee
PURCHASE CASH APP,P2P
AT&T INTERNET STORE 1256,Utilities
HILTON,Travel
WEB 3007 76 STATION /ONLINE,Gas
CARD 3496 PRIMARY CARE - LOS ANGELES CA,Health
CARD 8383 LOCAL MARKET *8383,Other
PAYMENT COSTCO,Grocery
AUTH 3842 SWEETGREEN,Restaurants
AUTH 1015 WOW INTERNET,Utilities
AUTH 8676 MEGABUS #8676,Transport
CARD 4878 PANDA EXPRESS /ONLINE,Restaurants
POS 1407 MAINTENANCE FEE STORE 1407,Fees
DRY CLEANING,Other
FRESH MARKET - LOS ANGELES CA,Grocery
AUTH 6066 SHELL /ONLINE,Gas
POS 5403 DOMINO'S PIZZA *5403,Restaurants
BOOKING.COM *9154,Travel
PAYMENT LABCORP,Health
PAYMENT PAYPAL FRIENDS *2921,P2P
PAYMENT DOLLAR TREE STORE 1922,Other
JETBLUE *6250,Travel
AUTH 3386 TAXI SERVICE,Transport
PAYMENT LAVAZZA CAFE /ONLINE,Coffee
PAYMENT WHOLE FOODS STORE 3935,Grocery
PAYMENT LEASE DEPOSIT,Rent
MAINTENANCE FEE STORE 2676,Fees
PURCHASE TICKETMASTER,Entertainment
PAYMENT DERMATOLOGY STORE 6334,Health
WISE TRANSFER SAN JOSE CA,P2P
AUTH 6287 URGENT CARE STORE 6287,Health
AUTH 2815 SUNOCO - LOS ANGELES CA,Gas
WHOLE FOODS STORE 1855,Grocery
ULTA,Shopping
REALPAGE PAYMENTS /ONLINE,Rent
CARD 5444 76 STATION,Gas
WEB 5661 EL POLLO LOCO - SEATTLE WA,Restaurants
OVERDRAFT FEE - AUSTIN TX,Fees
POS 6329 BREWER'S TAPROOM,Bars
POS 2227 CAFE NERO - SAN FRANCISCO CA,Coffee
BUFFALO WILD WINGS BAR,Bars
AUTH 1208 SEATTLE'S BEST BERKELEY CA,Coffee
PAYMENT TOLL BRIDGE SAN FRANCISCO CA,Transport
ONLINE RENT PAYMENT,Rent
REMITLY LOS ANGELES CA,P2P
PURCHASE MEGABUS,Transport
CAR WASH,Other
T-MOBILE,Utilities
DOLLAR TREE *7801,Other
TACO BELL,Restaurants
POS 1490 EXXONMOBIL SAN FRANCISCO CA,Gas
PURCHASE MARSHALLS *4055,Shopping
PURCHASE EBAY /ONLINE,Shopping
CARD 6358 DRY CLEANING STORE 6358,Other
PAYMENT MENTAL HEALTH *9323,Health
BANDCAMP,Entertainment
GULF OIL - NEW YORK NY,Gas
CARD 3855 WISE TRANSFER,P2P
VENMO /ONLINE,P2P
PAYMENT RAISING CANE'S /ONLINE,Restaurants
CARD 3445 LYFT XL,Transport
PAYMENT COCKTAIL CLUB,Bars
CARD 1378 SPIRIT AIRLINES *1378,Travel
AUTH 2402 CHEESECAKE FACTORY SEATTLE WA,Restaurants
ROOFTOP BAR - LOS ANGELES CA,Bars
CARD 6585 STARBUCKS STORE 6585,Coffee
AUTH 1162 ACME MARKETS,Grocery
PURCHASE FRONTIER AIRLINES,Travel
PURCHASE WALMART - SAN JOSE CA,Shopping
WEB 8045 HOME DEPOT,Shopping
CARD 9046 COFFEE BEAN & TEA LEAF,Coffee
CARD 4903 MEGABUS,Transport
POS 4519 ROOFTOP BAR - SEATTLE WA,Bars
POS 1031 DIRECTV - OAKLAND CA,Utilities
WIRE FEE STORE 5380,Fees
PAYMENT POST OFFICE #5419,Other
ONLINE RENT PAYMENT - NEW YORK NY,Rent
POS 7879 APPLE CASH,P2P
NORDSTROM /ONLINE,Shopping
APARTMENTS LLC /ONLINE,Rent
PAYMENT JERSEY MIKE'S #2530,Restaurants
PURCHASE APPLEBEE'S BAR *4593,Bars
BANK FEE STORE 8686,Fees
CARD 4743 FARMERS MARKET /ONLINE,Other
FRONTIER COMMUNICATIONS *9529,Utilities
CASH ADVANCE FEE SAN JOSE CA,Fees
UBER AIRPORT NEW YORK NY,Travel
POS 1727 GETTY - NEW YORK NY,Gas
HARDWARE STORE,Other
AUTH 9110 HOLIDAY STATION - LOS ANGELES CA,Gas
CARD REPLACEMENT FEE,Fees
AUTH 1979 GIANT FOOD,Grocery
POS 4798 MENTAL HEALTH,Health
TENANT WEB STORE 2649,Rent
PATREON,Entertainment
ACME MARKETS - AUSTIN TX,Grocery
PHILLIPS 66 STORE 2386,Gas
UNITED AIRLINES #3406,Travel
WENDY'S,Restaurants
CARD 9794 TSA PRECHECK #9794,Travel
AUTH 6253 SMUD ENERGY STORE 6253,Utilities
BANK FEE /ONLINE,Fees
AUTH 5515 HOME DEPOT /ONLINE,Shopping
PAYMENT LOCAL MARKET,Other
PURCHASE CASH ADVANCE FEE SAN FRANCISCO CA,Fees
WEB 8613 DENNY'S,Restaurants
EXXON *5610,Gas
WEB 8865 MARRIOTT /ONLINE,Travel
STAPLES,Shopping
CARD 5647 T-MOBILE *5647,Utilities
DUTCH BROS - SAN FRANCISCO CA,Coffee
FOOD LION #4671,Grocery
COSTCO FUEL #8332,Gas
PAYMENT CIDER HOUSE STORE 7533,Bars
PURCHASE ZELLE,P2P
SALVATION ARMY AUSTIN TX,Other
STEAM GAMES STORE 2134,Entertainment
CARD 3226 OPTOMETRY CENTER #3226,Health
KOHL'S,Shopping
THRIFT STORE #5605,Other
CARD 6172 DENTAL CLINIC STORE 6172,Health
THE ALEHOUSE *8924,Bars
BLUE BOTTLE /ONLINE,Coffee
POS 1898 BARCADE,Bars
CARD 6574 CRUNCHYROLL LOS ANGELES CA,Entertainment
POS 8464 GULF OIL SEATTLE WA,Gas
PURCHASE RENT PAYMENT PORTAL,Rent
COFFEE BEAN & TEA LEAF /ONLINE,Coffee
POS 1585 TIM HORTONS,Coffee
SCOOTER RENTAL OAKLAND CA,Transport
PAYMENT ELECTRIC CO-OP,Utilities
WHITE CASTLE *1606,Restaurants
PAYMENT WISE TRANSFER - SAN JOSE CA,P2P
POS 4173 REMITLY,P2P
INTELLIGENTSIA *8126,Coffee
CARD 8022 MACY'S,Shopping
CARD 3469 PHILZ COFFEE,Coffee
PAYMENT ATM FEE,Fees
POS 9630 BARCADE,Bars
CARD 7737 ULTA,Shopping
PAYMENT ULTA *4462,Shopping
AUTH 4942 ZILLOW RENT LOS ANGELES CA,Rent
XBOX LIVE /ONLINE,Entertainment
THRIFT STORE /ONLINE,Other
STARBUCKS - SAN FRANCISCO CA,Coffee
AUTH 1953 PAYPAL FRIENDS /ONLINE,P2P
WEB 8775 SPIRIT AIRLINES,Travel
ROOFTOP BAR #7759,Bars
AVIS RENTAL #4506,Transport
PAYMENT TAXI SERVICE,Transport
UNITED AIRLINES,Travel
CVS PHARMACY /ONLINE,Health
WEB 9193 VENMO REQUEST STORE 9193,P2P
PURCHASE HOLIDAY STATION STORE 6948,Gas
CARD 6096 METRONET /ONLINE,Utilities
POS 7223 SONIC INTERNET - AUSTIN TX,Utilities
HAPPY HOUR LOUNGE #4387,Bars
WEB 7697 KAISER,Health
CARD 6330 APARTMENTS LLC #6330,Rent
POS 9627 COSTCO WHOLESALE,Shopping
WEB 4806 HARBOR FREIGHT /ONLINE,Other
BEER GARDEN SEATTLE WA,Bars
ORTHO CLINIC #1795,Health
SONIC INTERNET - OAKLAND CA,Utilities
PAYMENT CHIROPRACTOR BERKELEY CA,Health
SQUARE CASH - NEW YORK NY,P2P
POS 3073 EBAY,Shopping
AUTH 9574 RITE AID,Health
WEB 8254 SIRIUSXM /ONLINE,Entertainment
CARD 5790 WIRE FEE STORE 5790,Fees
UBER AIRPORT OAKLAND CA,Travel
WALGREENS,Health
WEB 9694 GETTY,Gas
WEB 3784 STRIPE PAYOUT,P2P
PURCHASE H&M *3385,Shopping
ONLINE RENT PAYMENT OAKLAND CA,Rent
ENTERPRISE RENTAL,Transport
AUTH 7845 COMMUNITY CENTER,Other
RITE AID OAKLAND CA,Health
PURCHASE WISE TRANSFER /ONLINE,P2P
WEB 6711 SPECTRUM,Utilities
MONTHLY SERVICE FEE STORE 6411,Fees
PAYMENT TOLL BRIDGE *2465,Transport
PAYMENT PARKING METER,Transport
PAYMENT PHYSICAL THERAPY,Health
WEB 8679 APPLEBEE'S BAR,Bars
CARD 7225 CANCER CENTER #7225,Health
WEB 4691 SIRIUSXM *4691,Entertainment
WEB 1042 MARRIOTT - SEATTLE WA,Travel
AUTH 7747 GREYHOUND,Transport
CIDER HOUSE,Bars
CARD 3345 DISTILLERY BAR STORE 3345,Bars
BART CLIPPER *3215,Transport
AUTH 9012 ORTHO CLINIC /ONLINE,Health
PAYMENT UBER TRIP #9974,Transport
PAYMENT POST OFFICE - AUSTIN TX,Other
SQUARE CASH *9230,P2P
POS 1136 PAYPAL FRIENDS,P2P
TAPHOUSE /ONLINE,Bars
FOOD 4 LESS STORE 6586,Grocery
PURCHASE APPLEBEE'S BAR,Bars
WEB 8645 SAM'S CLUB,Shopping
AUTH 7338 REVOLUT,P2P
CAFE NERO SAN FRANCISCO CA,Coffee
POS 2192 DELTA SHUTTLE SAN FRANCISCO CA,Transport
POS 5891 DELTA VACATIONS,Travel
TACO BELL,Restaurants
WEB 3851 TSA PRECHECK,Travel
PURCHASE SECOND CUP - SAN FRANCISCO CA,Coffee
POS 2876 BP SAN FRANCISCO CA,Gas
PURCHASE LABCORP,Health
COCKTAIL CLUB,Bars
POS 4007 SPEAKEASY,Bars
POS 3219 NOODLES & CO /ONLINE,Restaurants
DUTCH BROS SAN FRANCISCO CA,Coffee
PURCHASE DOMINO'S PIZZA BERKELEY CA,Restaurants
AUTH 5387 LYFT RIDE /ONLINE,Transport
DENTAL CLINIC *9934,Health
PAYMENT DIRECTV,Utilities
PURCHASE TACO BELL NEW YORK NY,Restaurants
JERSEY MIKE'S,Restaurants
PAYMENT SALVATION ARMY,Other
UBER AIRPORT /ONLINE,Travel
POS 3932 LATE FEE /ONLINE,Fees
POS 7568 ONLINE RENT PAYMENT,Rent
PAYMENT RENT PAYMENT PORTAL,Rent
AUTH 4472 GAS BUDDY AUSTIN TX,Gas
STRIPE PAYOUT,P2P
POS 6447 ARBY'S *6447,Restaurants
POS 5613 FARMERS MARKET *5613,Other
AUTH 9045 LOCAL MARKET *9045,Other
AUTH 2780 H&M #2780,Shopping
SPOTIFY SEATTLE WA,Entertainment
